Metric,Value
Insomnia prevalence (%),49.35
Sleep score -> GPA correlation (r),-0.153
Sleep score -> GPA regression (R2),0.023
Sleep -> Stress mediation (R2),0.012
Stress -> GPA mediation (R2),0.069
Sleep x Exercise moderation (R2),0.027
