Model,Accuracy,Precision,Recall,Specificity,F1 Score,AUC
Decision Tree,0.727,0.726,0.729,0.725,0.727,0.728
Logistic Regression,0.638,0.639,0.636,0.639,0.636,0.705
SVM (RBF),0.692,0.672,0.75,0.634,0.708,0.763
k-NN,0.713,0.667,0.855,0.572,0.749,0.779
Random Forest,0.774,0.786,0.754,0.795,0.769,0.864
Naive Bayes,0.646,0.643,0.657,0.634,0.649,0.716
