Model,Accuracy,Precision,Recall,Specificity,F1 Score,AUC
Decision Tree,0.92,0.1,0.125,0.953,0.111,0.575
Logistic Regression,0.87,0.2,0.75,0.875,0.316,0.853
SVM (RBF),0.9,0.167,0.375,0.922,0.231,0.792
k-NN,0.865,0.172,0.625,0.875,0.27,0.847
Random Forest,0.94,0.25,0.25,0.969,0.25,0.822
Naive Bayes,0.875,0.207,0.75,0.88,0.324,0.885
