Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"15/4/2026, 9:57:51 am",third year,ece,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,every night,rarely (1-2 times a week),every day,high stress,average
"15/4/2026, 9:57:56 am",third year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,sometimes,often,rarely (1-2 times a month),moderate impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,average
"15/4/2026, 9:58:14 am",third year,mechanical,male,sometimes (3-4 times a week),4-5 hours,sometimes (3-4 times a week),good,sometimes,always,never,moderate impact,every night,rarely (1-2 times a week),never,high stress,average
"15/4/2026, 9:58:15 am",third year,cse,male,sometimes (3-4 times a week),5-6 hours,never,average,sometimes,rarely,rarely (1-2 times a month),severe impact,every night,never,rarely (1-2 times a week),high stress,below average
"15/4/2026, 9:58:18 am",third year,cse,male,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,often,rarely,never,severe impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"15/4/2026, 9:58:30 am",third year,cse,male,every night,5-6 hours,often (5-6 times a week),average,often,never,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),never,low stress,below average
"15/4/2026, 9:58:36 am",third year,eee,male,sometimes (3-4 times a week),6-7 hours,never,good,often,always,always,moderate impact,rarely (1-2 times a week),never,often (5-6 times a week),low stress,good
"15/4/2026, 9:58:41 am",third year,cse,male,often (5-6 times a week),5-6 hours,often (5-6 times a week),very good,sometimes,often,rarely (1-2 times a month),major impact,every night,never,sometimes (3-4 times a week),high stress,average
"15/4/2026, 9:58:43 am",second year,eee,male,often (5-6 times a week),6-7 hours,never,average,often,always,rarely (1-2 times a month),moderate impact,every night,rarely (1-2 times a week),often (5-6 times a week),low stress,good
"15/4/2026, 9:58:53 am",first year,cse,male,never,5-6 hours,rarely (1-2 times a week),average,rarely,always,rarely (1-2 times a month),minor impact,every night,often (5-6 times a week),often (5-6 times a week),high stress,average
"15/4/2026, 9:58:59 am",third year,eee,female,rarely (1-2 times a week),5-6 hours,sometimes (3-4 times a week),good,sometimes,often,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),every day,sometimes (3-4 times a week),high stress,average
"15/4/2026, 9:59:03 am",third year,cse,female,rarely (1-2 times a week),5-6 hours,sometimes (3-4 times a week),good,sometimes,often,sometimes (1-2 times a week),moderate impact,rarely (1-2 times a week),every day,sometimes (3-4 times a week),low stress,good
"15/4/2026, 9:59:08 am",first year,cse,male,rarely (1-2 times a week),6-7 hours,never,good,sometimes,often,sometimes (1-2 times a week),minor impact,every night,rarely (1-2 times a week),often (5-6 times a week),high stress,good
"15/4/2026, 9:59:11 am",third year,ece,male,often (5-6 times a week),less than 4 hours,often (5-6 times a week),average,sometimes,sometimes,never,minor impact,often (5-6 times a week),never,rarely (1-2 times a week),high stress,average
"15/4/2026, 9:59:22 am",fourth year,mechanical,male,often (5-6 times a week),7-8 hours,rarely (1-2 times a week),good,sometimes,always,rarely (1-2 times a month),major impact,rarely (1-2 times a week),never,often (5-6 times a week),extremely high stress,average
"15/4/2026, 9:59:25 am",first year,cse,male,sometimes (3-4 times a week),6-7 hours,never,average,always,sometimes,rarely (1-2 times a month),major impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,good
"15/4/2026, 9:59:40 am",third year,eee,female,often (5-6 times a week),5-6 hours,never,average,often,often,often (3-4 times a week),moderate impact,sometimes (3-4 times a week),rarely (1-2 times a week),rarely (1-2 times a week),extremely high stress,average
"15/4/2026, 9:59:41 am",third year,cse,female,every night,7-8 hours,never,average,often,often,often (3-4 times a week),minor impact,every night,never,every day,high stress,below average
"15/4/2026, 9:59:43 am",third year,mechanical,female,sometimes (3-4 times a week),6-7 hours,never,good,never,sometimes,rarely (1-2 times a month),moderate impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),high stress,good
"15/4/2026, 9:59:46 am",second year,cse,female,often (5-6 times a week),4-5 hours,every night,average,rarely,sometimes,sometimes (1-2 times a week),moderate impact,every night,often (5-6 times a week),often (5-6 times a week),high stress,poor
"15/4/2026, 9:59:46 am",third year,cse,male,often (5-6 times a week),6-7 hours,rarely (1-2 times a week),good,often,sometimes,sometimes (1-2 times a week),moderate impact,every night,often (5-6 times a week),every day,high stress,average
"15/4/2026, 9:59:46 am",third year,cse,male,often (5-6 times a week),4-5 hours,often (5-6 times a week),very poor,sometimes,rarely,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),never,never,high stress,poor
