Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"19/3/2026, 7:48:24 pm",second year,ece,female,often (5-6 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,average
"19/3/2026, 7:49:53 pm",third year,cse,female,often (5-6 times a week),4-5 hours,sometimes (3-4 times a week),poor,never,rarely,rarely (1-2 times a month),moderate impact,never,sometimes (3-4 times a week),never,low stress,average
"19/3/2026, 8:04:37 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),very good,sometimes,always,often (3-4 times a week),moderate impact,every night,never,every day,high stress,below average
"19/3/2026, 9:15:36 pm",second year,cse,male,sometimes (3-4 times a week),4-5 hours,sometimes (3-4 times a week),average,never,rarely,rarely (1-2 times a month),moderate impact,never,rarely (1-2 times a week),rarely (1-2 times a week),low stress,below average
"19/3/2026, 11:47:56 pm",third year,cse,male,rarely (1-2 times a week),less than 4 hours,never,good,rarely,rarely,sometimes (1-2 times a week),minor impact,every night,never,every day,low stress,average
"20/3/2026, 12:13:04 am",third year,ece,female,sometimes (3-4 times a week),5-6 hours,sometimes (3-4 times a week),average,often,often,sometimes (1-2 times a week),moderate impact,every night,never,never,low stress,average
"20/3/2026, 11:24:29 am",third year,ece,female,often (5-6 times a week),less than 4 hours,every night,very poor,always,always,always,moderate impact,often (5-6 times a week),every day,never,extremely high stress,poor
"20/3/2026, 4:02:37 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,never,good,rarely,rarely,rarely (1-2 times a month),moderate impact,every night,never,rarely (1-2 times a week),no stress,good
"26/3/2026, 12:58:19 pm",second year,mechanical,female,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,good
"26/3/2026, 1:01:07 pm",second year,mechanical,female,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,good
"27/3/2026, 4:29:19 pm",fourth year,cse,male,sometimes (3-4 times a week),less than 4 hours,often (5-6 times a week),average,rarely,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),every day,rarely (1-2 times a week),low stress,good
"27/3/2026, 8:30:05 pm",first year,eee,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,rarely,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,average
"29/3/2026, 1:48:39 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),good,rarely,sometimes,rarely (1-2 times a month),minor impact,every night,rarely (1-2 times a week),sometimes (3-4 times a week),extremely high stress,average
"29/3/2026, 2:11:41 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,never,average,rarely,often,sometimes (1-2 times a week),minor impact,every night,rarely (1-2 times a week),never,extremely high stress,average
"29/3/2026, 2:44:02 pm",first year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,good
"2/4/2026, 1:41:42 pm",third year,cse,male,never,7-8 hours,often (5-6 times a week),good,often,sometimes,rarely (1-2 times a month),moderate impact,every night,never,rarely (1-2 times a week),no stress,excellent
"2/4/2026, 1:48:02 pm",third year,cse,male,every night,5-6 hours,often (5-6 times a week),average,often,always,often (3-4 times a week),major impact,every night,never,never,extremely high stress,average
"2/4/2026, 1:52:00 pm",third year,eee,male,every night,6-7 hours,sometimes (3-4 times a week),average,sometimes,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),sometimes (3-4 times a week),every day,high stress,excellent
"2/4/2026, 1:52:31 pm",third year,mechanical,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,sometimes,sometimes,sometimes (1-2 times a week),minor impact,often (5-6 times a week),never,sometimes (3-4 times a week),low stress,good
"2/4/2026, 1:53:04 pm",third year,cse,male,every night,6-7 hours,often (5-6 times a week),poor,sometimes,always,often (3-4 times a week),major impact,every night,every day,never,low stress,poor
"2/4/2026, 1:55:02 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,often,often,rarely (1-2 times a month),minor impact,every night,sometimes (3-4 times a week),rarely (1-2 times a week),high stress,below average
"2/4/2026, 1:55:26 pm",third year,cse,male,never,5-6 hours,often (5-6 times a week),good,often,sometimes,sometimes (1-2 times a week),minor impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"2/4/2026, 1:56:07 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,rarely,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),never,never,high stress,poor
"2/4/2026, 1:56:39 pm",third year,mechanical,male,never,6-7 hours,often (5-6 times a week),good,rarely,rarely,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,good
"2/4/2026, 1:56:50 pm",third year,eee,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,often,always,sometimes (1-2 times a week),moderate impact,every night,every day,every day,low stress,average
"2/4/2026, 2:02:36 pm",third year,cse,male,every night,5-6 hours,sometimes (3-4 times a week),good,rarely,sometimes,sometimes (1-2 times a week),minor impact,every night,every day,every day,high stress,good
"2/4/2026, 2:04:10 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,always,always,often (3-4 times a week),minor impact,every night,never,rarely (1-2 times a week),high stress,poor
"2/4/2026, 2:05:10 pm",third year,cse,male,often (5-6 times a week),less than 4 hours,sometimes (3-4 times a week),average,always,sometimes,often (3-4 times a week),moderate impact,every night,never,rarely (1-2 times a week),high stress,average
"2/4/2026, 2:07:26 pm",third year,cse,male,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),average,sometimes,sometimes,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),never,rarely (1-2 times a week),high stress,average
"2/4/2026, 2:08:12 pm",third year,eee,male,every night,5-6 hours,often (5-6 times a week),average,often,sometimes,never,minor impact,every night,never,often (5-6 times a week),high stress,average
"2/4/2026, 2:09:24 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,often,often,sometimes (1-2 times a week),moderate impact,rarely (1-2 times a week),never,rarely (1-2 times a week),extremely high stress,average
"2/4/2026, 2:10:58 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,always,always,often (3-4 times a week),moderate impact,every night,never,never,high stress,good
"2/4/2026, 2:11:28 pm",third year,cse,male,every night,5-6 hours,often (5-6 times a week),very poor,rarely,always,always,severe impact,every night,never,never,low stress,excellent
"2/4/2026, 2:13:10 pm",third year,cse,male,often (5-6 times a week),less than 4 hours,every night,poor,always,always,always,severe impact,every night,every day,every day,extremely high stress,average
"2/4/2026, 2:13:18 pm",third year,cse,female,every night,6-7 hours,every night,average,always,sometimes,rarely (1-2 times a month),moderate impact,every night,never,rarely (1-2 times a week),high stress,good
"2/4/2026, 2:13:51 pm",third year,cse,male,every night,5-6 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),minor impact,rarely (1-2 times a week),rarely (1-2 times a week),never,extremely high stress,below average
"2/4/2026, 2:15:27 pm",third year,cse,male,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),good,rarely,rarely,never,moderate impact,every night,rarely (1-2 times a week),every day,low stress,average
"2/4/2026, 2:16:18 pm",third year,ece,male,rarely (1-2 times a week),5-6 hours,sometimes (3-4 times a week),poor,always,always,always,major impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,below average
"2/4/2026, 2:22:04 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,often,sometimes (1-2 times a week),minor impact,every night,never,rarely (1-2 times a week),no stress,good
"2/4/2026, 2:23:12 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,sometimes,rarely,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),rarely (1-2 times a week),every day,low stress,average
"2/4/2026, 2:23:45 pm",third year,mechanical,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,often,sometimes,sometimes (1-2 times a week),minor impact,every night,never,every day,high stress,good
"2/4/2026, 2:24:28 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,often,sometimes,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),never,often (5-6 times a week),low stress,good
"2/4/2026, 2:26:15 pm",third year,cse,male,every night,less than 4 hours,often (5-6 times a week),average,rarely,sometimes,sometimes (1-2 times a week),moderate impact,never,every day,every day,low stress,below average
"2/4/2026, 2:27:53 pm",third year,cse,male,rarely (1-2 times a week),less than 4 hours,often (5-6 times a week),average,sometimes,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),never,sometimes (3-4 times a week),high stress,average
"2/4/2026, 2:30:13 pm",third year,other,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,often,often,sometimes (1-2 times a week),moderate impact,every night,never,rarely (1-2 times a week),extremely high stress,good
"2/4/2026, 2:39:13 pm",third year,cse,female,rarely (1-2 times a week),less than 4 hours,often (5-6 times a week),good,sometimes,sometimes,never,moderate impact,every night,never,rarely (1-2 times a week),extremely high stress,good
"2/4/2026, 2:39:26 pm",first year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,often,often,rarely (1-2 times a month),moderate impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),low stress,below average
"2/4/2026, 2:39:40 pm",third year,cse,male,every night,5-6 hours,often (5-6 times a week),average,always,often,always,major impact,every night,never,every day,low stress,average
"2/4/2026, 2:39:48 pm",first year,eee,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,always,often,rarely (1-2 times a month),major impact,rarely (1-2 times a week),rarely (1-2 times a week),rarely (1-2 times a week),low stress,poor
"2/4/2026, 2:40:16 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,sometimes,often,rarely (1-2 times a month),minor impact,every night,sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,good
"2/4/2026, 2:41:00 pm",third year,cse,male,every night,less than 4 hours,every night,very poor,always,always,always,severe impact,never,every day,every day,no stress,excellent
"2/4/2026, 2:41:03 pm",third year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),poor,always,always,sometimes (1-2 times a week),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),never,extremely high stress,good
"2/4/2026, 2:42:12 pm",first year,eee,male,sometimes (3-4 times a week),less than 4 hours,sometimes (3-4 times a week),very poor,never,always,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),never,rarely (1-2 times a week),no stress,average
"2/4/2026, 2:47:02 pm",third year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,always,often,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),never,rarely (1-2 times a week),low stress,average
"2/4/2026, 2:52:59 pm",third year,cse,male,never,7-8 hours,often (5-6 times a week),good,sometimes,always,never,moderate impact,never,rarely (1-2 times a week),rarely (1-2 times a week),low stress,good
"2/4/2026, 3:07:57 pm",third year,cse,female,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"2/4/2026, 3:24:28 pm",third year,ece,female,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),average,often,always,rarely (1-2 times a month),major impact,sometimes (3-4 times a week),never,never,extremely high stress,average
"2/4/2026, 3:24:45 pm",third year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),very good,often,often,sometimes (1-2 times a week),major impact,every night,never,never,extremely high stress,average
"2/4/2026, 3:24:47 pm",third year,cse,female,never,5-6 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),minor impact,every night,sometimes (3-4 times a week),never,extremely high stress,average
"2/4/2026, 3:32:50 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),minor impact,every night,sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,average
"2/4/2026, 3:38:29 pm",third year,cse,male,never,5-6 hours,often (5-6 times a week),good,often,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),high stress,average
"2/4/2026, 3:54:20 pm",third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),minor impact,every night,every day,rarely (1-2 times a week),high stress,average
"2/4/2026, 4:10:53 pm",third year,civil,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,often,often,rarely (1-2 times a month),major impact,every night,never,never,extremely high stress,poor
"2/4/2026, 4:20:20 pm",third year,cse,female,never,6-7 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),never,never,high stress,average
"2/4/2026, 10:25:15 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,always,sometimes,never,minor impact,rarely (1-2 times a week),never,never,high stress,good
"4/4/2026, 8:33:21 pm",third year,eee,male,often (5-6 times a week),5-6 hours,often (5-6 times a week),poor,rarely,often,always,minor impact,every night,rarely (1-2 times a week),often (5-6 times a week),low stress,below average
"6/4/2026, 10:27:04 am",third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,sometimes,often,sometimes (1-2 times a week),minor impact,every night,never,never,high stress,average
"10/4/2026, 9:38:32 pm",second year,ece,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,good
"10/4/2026, 9:40:02 pm",first year,cse,male,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,rarely (1-2 times a month),moderate impact,every night,sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"10/4/2026, 7:48:01 pm",second year,cse,female,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),average,rarely,rarely,sometimes (1-2 times a week),moderate impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),high stress,average
"10/4/2026, 7:49:28 pm",fourth year,ece,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,rarely,rarely,sometimes (1-2 times a week),moderate impact,every night,sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,average
"10/4/2026, 7:50:37 pm",first year,cse,female,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,often (5-6 times a week),rarely (1-2 times a week),rarely (1-2 times a week),low stress,good
"10/4/2026, 7:51:57 pm",third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),major impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"10/4/2026, 7:54:05 pm",third year,ece,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,rarely,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),rarely (1-2 times a week),never,high stress,average
"10/4/2026, 9:00:17 pm",third year,cse,male,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,rarely,rarely,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),high stress,average
"10/4/2026, 9:02:04 pm",third year,cse,male,never,6-7 hours,often (5-6 times a week),good,sometimes,rarely,sometimes (1-2 times a week),moderate impact,every night,never,often (5-6 times a week),high stress,below average
"10/4/2026, 9:04:03 pm",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),rarely (1-2 times a week),never,low stress,good
"10/4/2026, 9:04:58 pm",second year,ece,female,rarely (1-2 times a week),7-8 hours,sometimes (3-4 times a week),average,rarely,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"10/4/2026, 9:07:30 pm",fourth year,cse,male,sometimes (3-4 times a week),6-7 hours,sometimes (3-4 times a week),average,sometimes,rarely,sometimes (1-2 times a week),moderate impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"10/4/2026, 9:08:40 pm",first year,eee,male,never,7-8 hours,often (5-6 times a week),very good,rarely,rarely,sometimes (1-2 times a week),minor impact,often (5-6 times a week),sometimes (3-4 times a week),never,high stress,below average
"11/4/2026, 9:21:59 am",third year,cse,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,rarely,rarely,never,minor impact,rarely (1-2 times a week),never,sometimes (3-4 times a week),low stress,average
"11/4/2026, 9:30:24 pm",second year,cse,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,good
"11/4/2026, 12:02:19 pm",second year,ece,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,never,never,rarely (1-2 times a month),minor impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,excellent
"11/4/2026, 12:04:57 pm",fourth year,cse,male,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),average,sometimes,rarely,rarely (1-2 times a month),major impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"14\1/4/2026, 12:06:00 pm",first year,cse,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),sometimes (3-4 times a week),never,low stress,average
"11/4/2026, 12:07:23 pm",second year,mechanical,female,never,7-8 hours,often (5-6 times a week),very good,rarely,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),often (5-6 times a week),rarely (1-2 times a week),high stress,average
"11/4/2026, 12:09:38 pm",first year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),minor impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,average
"11/4/2026, 12:12:32 pm",third year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,rarely,rarely,sometimes (1-2 times a week),minor impact,sometimes (3-4 times a week),never,rarely (1-2 times a week),high stress,average
"11/4/2026, 12:13:21 pm",fourth year,ece,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,rarely,sometimes,sometimes (1-2 times a week),moderate impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"11/4/2026, 12:15:09 pm",second year,cse,female,never,6-7 hours,often (5-6 times a week),good,rarely,rarely,rarely (1-2 times a month),minor impact,sometimes (3-4 times a week),sometimes (3-4 times a week),never,high stress,below average
"11/4/2026, 3:21:22 pm",third year,ece,male,every night,more than 8 hours,every night,very poor,never,never,never,severe impact,never,never,never,no stress,poor
11/4/2026 3:24:47 pm,third year,cse,female,never,5-6 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),minor impact,every night,sometimes (3-4 times a week),never,extremely high stress,average
11/4/2026 3:32:50 pm,third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),minor impact,every night,sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,average
11/4/2026 3:38:29 pm,third year,cse,male,never,5-6 hours,often (5-6 times a week),good,often,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),high stress,average
11/4/2026 3:54:20 pm,third year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),minor impact,every night,every day,rarely (1-2 times a week),high stress,average
11/4/2026 4:10:53 pm,third year,civil,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,often,often,rarely (1-2 times a month),major impact,every night,never,never,extremely high stress,poor
11/4/2026 4:20:20 pm,third year,cse,female,never,6-7 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),moderate impact,often (5-6 times a week),never,never,high stress,average
11/4/2026 4:25:15 pm,third year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,always,sometimes,never,minor impact,rarely (1-2 times a week),never,never,high stress,good
11/4/2026 4:33:21 pm,second year,eee,male,often (5-6 times a week),5-6 hours,often (5-6 times a week),poor,rarely,often,always,minor impact,every night,rarely (1-2 times a week),often (5-6 times a week),low stress,below average
"11/4/2026, 5:58:32 pm",second year,cse,female,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),average,rarely,sometimes,rarely (1-2 times a month),moderate impact,sometimes (3-4 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,good
"12/4/2026, 6:19:08 pm",second year,cse,male,sometimes (3-4 times a week),5-6 hours,sometimes (3-4 times a week),average,sometimes,rarely,often (3-4 times a week),moderate impact,often (5-6 times a week),rarely (1-2 times a week),never,high stress,average
"12/4/2026, 6:20:53 pm",second year,ece,female,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,never,rarely,rarely (1-2 times a month),minor impact,rarely (1-2 times a week),never,sometimes (3-4 times a week),low stress,good
"12/4/2026, 6:22:40 pm",second year,ece,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,sometimes,rarely,rarely (1-2 times a month),minor impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,average
"12/4/2026, 6:23:16 pm",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,sometimes,often,sometimes (1-2 times a week),minor impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),no stress,average
"12/4/2026, 6:23:26 pm",second year,eee,male,every night,5-6 hours,often (5-6 times a week),poor,often,often,sometimes (1-2 times a week),major impact,every night,never,every day,high stress,below average
"12/4/2026, 6:24:11 pm",second year,cse,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),average,often,always,sometimes (1-2 times a week),moderate impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),high stress,good
"12/4/2026, 6:24:47 pm",second year,ece,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),poor,sometimes,often,often (3-4 times a week),moderate impact,every night,rarely (1-2 times a week),never,low stress,poor
"12/4/2026, 6:25:19 pm",second year,ece,male,rarely (1-2 times a week),more than 8 hours,often (5-6 times a week),good,rarely,never,never,moderate impact,never,never,never,no stress,average
"12/4/2026, 6:26:08 pm",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,rarely,rarely,sometimes (1-2 times a week),minor impact,every night,never,sometimes (3-4 times a week),high stress,average
"12/4/2026, 6:27:05 pm",second year,cse,male,rarely (1-2 times a week),7-8 hours,often (5-6 times a week),good,sometimes,sometimes,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),high stress,average
"12/4/2026, 6:27:32 pm",first year,mechanical,male,never,7-8 hours,often (5-6 times a week),very good,never,rarely,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),never,every day,no stress,average
"12/4/2026, 6:28:02 pm",second year,other,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,often,sometimes (1-2 times a week),minor impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,good
"12/4/2026, 6:28:12 pm",second year,cse,male,never,7-8 hours,often (5-6 times a week),good,often,sometimes,often (3-4 times a week),moderate impact,every night,often (5-6 times a week),sometimes (3-4 times a week),no stress,good
"12/4/2026, 6:29:26 pm",second year,cse,female,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),good,sometimes,often,rarely (1-2 times a month),severe impact,every night,never,rarely (1-2 times a week),extremely high stress,below average
"12/4/2026, 6:29:52 pm",second year,cse,male,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,often,often,rarely (1-2 times a month),minor impact,every night,never,sometimes (3-4 times a week),low stress,average
"12/4/2026, 6:30:00 pm",second year,eee,female,sometimes (3-4 times a week),5-6 hours,often (5-6 times a week),poor,rarely,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),low stress,average
"12/4/2026, 6:32:13 pm",second year,mechanical,male,sometimes (3-4 times a week),less than 4 hours,often (5-6 times a week),very poor,sometimes,rarely,always,major impact,every night,every day,sometimes (3-4 times a week),low stress,good
"12/4/2026, 6:37:59 pm",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,often,sometimes,sometimes (1-2 times a week),moderate impact,every night,never,never,high stress,good
"12/4/2026, 6:41:47 pm",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),good,always,sometimes,often (3-4 times a week),moderate impact,every night,never,sometimes (3-4 times a week),high stress,average
"12/4/2026, 6:44:05 pm",second year,civil,female,never,more than 8 hours,often (5-6 times a week),very good,never,never,never,moderate impact,never,never,never,no stress,average
"12/4/2026, 6:44:55 pm",second year,eee,male,rarely (1-2 times a week),6-7 hours,sometimes (3-4 times a week),average,often,sometimes,often (3-4 times a week),moderate impact,every night,never,sometimes (3-4 times a week),extremely high stress,below average
"12/4/2026, 6:44:55 pm",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),very good,often,sometimes,sometimes (1-2 times a week),moderate impact,every night,never,sometimes (3-4 times a week),high stress,good
"12/4/2026, 6:45:22 pm",second year,cse,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),moderate impact,every night,rarely (1-2 times a week),often (5-6 times a week),high stress,good
"12/4/2026, 6:50:32 pm",second year,other,female,every night,6-7 hours,often (5-6 times a week),good,sometimes,rarely,sometimes (1-2 times a week),major impact,every night,every day,every day,no stress,poor
"12/4/2026, 6:51:13 pm",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),very good,often,always,always,severe impact,every night,never,every day,high stress,below average
"12/4/2026, 6:56:29 pm",second year,mechanical,male,never,7-8 hours,often (5-6 times a week),good,rarely,never,never,minor impact,every night,never,never,high stress,good
"12/4/2026, 6:58:28 pm",second year,cse,male,never,7-8 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),minor impact,every night,never,rarely (1-2 times a week),high stress,average
"12/4/2026, 6:58:45 pm",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,sometimes,sometimes,rarely (1-2 times a month),moderate impact,every night,often (5-6 times a week),often (5-6 times a week),low stress,average
"12/4/2026, 7:08:12 pm",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),average,often,sometimes,rarely (1-2 times a month),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"12/4/2026, 7:08:56 pm",second year,civil,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,often,always,always,severe impact,every night,every day,rarely (1-2 times a week),extremely high stress,below average
