Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 17:04:15,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,often,rarely (1-2 times a month),moderate impact,often (5-6 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),high stress,below average
10/24/2024 17:04:15,graduate student,male,rarely (1-2 times a week),4-5 hours,rarely (1-2 times a week),average,sometimes,sometimes,rarely (1-2 times a month),minor impact,rarely (1-2 times a week),rarely (1-2 times a week),rarely (1-2 times a week),low stress,average
10/24/2024 17:06:35,second year,male,often (5-6 times a week),7-8 hours,every night,good,often,sometimes,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),extremely high stress,good
10/24/2024 17:07:01,first year,male,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),good,never,sometimes,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),often (5-6 times a week),often (5-6 times a week),high stress,good
10/24/2024 17:07:29,second year,male,rarely (1-2 times a week),6-7 hours,rarely (1-2 times a week),poor,often,often,sometimes (1-2 times a week),no impact,rarely (1-2 times a week),rarely (1-2 times a week),rarely (1-2 times a week),low stress,excellent
10/24/2024 17:08:29,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,sometimes,sometimes (1-2 times a week),major impact,sometimes (3-4 times a week),every day,often (5-6 times a week),high stress,average
10/24/2024 17:08:59,second year,female,often (5-6 times a week),more than 8 hours,often (5-6 times a week),good,sometimes,often,often (3-4 times a week),minor impact,often (5-6 times a week),rarely (1-2 times a week),often (5-6 times a week),high stress,below average
10/24/2024 17:10:05,third year,male,sometimes (3-4 times a week),7-8 hours,sometimes (3-4 times a week),good,sometimes,often,often (3-4 times a week),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),high stress,average
10/24/2024 17:12:15,second year,female,often (5-6 times a week),7-8 hours,every night,average,often,rarely,often (3-4 times a week),moderate impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,good
10/24/2024 17:12:40,second year,female,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),good,often,sometimes,often (3-4 times a week),major impact,rarely (1-2 times a week),often (5-6 times a week),often (5-6 times a week),low stress,average
10/24/2024 17:14:18,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,sometimes,rarely,sometimes (1-2 times a week),moderate impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/24/2024 17:15:03,third year,male,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),average,often,sometimes,sometimes (1-2 times a week),minor impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),low stress,average
10/24/2024 17:15:43,third year,female,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),average,sometimes,always,often (3-4 times a week),moderate impact,often (5-6 times a week),rarely (1-2 times a week),often (5-6 times a week),low stress,good
10/24/2024 17:16:11,second year,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),poor,often,sometimes,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,average
10/24/2024 17:16:38,third year,male,sometimes (3-4 times a week),7-8 hours,sometimes (3-4 times a week),average,sometimes,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),low stress,good
10/24/2024 17:17:19,third year,male,every night,more than 8 hours,often (5-6 times a week),good,often,rarely,sometimes (1-2 times a week),moderate impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,poor
10/24/2024 17:17:51,graduate student,female,every night,7-8 hours,often (5-6 times a week),good,often,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/24/2024 17:18:37,second year,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,sometimes,often,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,average
10/24/2024 17:20:16,third year,male,often (5-6 times a week),6-7 hours,sometimes (3-4 times a week),average,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),extremely high stress,average
10/24/2024 17:20:38,third year,female,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),average,sometimes,often,rarely (1-2 times a month),major impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,average
10/24/2024 17:21:01,third year,male,every night,more than 8 hours,every night,average,often,sometimes,often (3-4 times a week),minor impact,often (5-6 times a week),rarely (1-2 times a week),often (5-6 times a week),high stress,average
10/24/2024 17:21:24,third year,female,often (5-6 times a week),4-5 hours,often (5-6 times a week),average,sometimes,sometimes,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),every day,low stress,average
10/24/2024 17:27:58,third year,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,often,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),extremely high stress,below average
10/24/2024 17:29:00,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,sometimes,often (3-4 times a week),major impact,often (5-6 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),extremely high stress,poor
10/24/2024 17:30:27,third year,female,often (5-6 times a week),7-8 hours,every night,good,often,rarely,always,moderate impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,below average
