Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/25/2024 16:58:40,graduate student,female,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/25/2024 16:59:38,graduate student,female,every night,7-8 hours,every night,good,often,often,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/25/2024 17:37:37,graduate student,female,every night,more than 8 hours,often (5-6 times a week),very good,often,often,often (3-4 times a week),major impact,every night,often (5-6 times a week),every day,high stress,poor
10/25/2024 17:38:08,graduate student,female,often (5-6 times a week),more than 8 hours,every night,very good,often,always,always,major impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/25/2024 17:38:32,third year,female,every night,more than 8 hours,every night,very good,often,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/25/2024 17:40:37,graduate student,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,always,always,always,severe impact,every night,every day,every day,extremely high stress,poor
10/25/2024 17:41:11,graduate student,female,every night,more than 8 hours,every night,very good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/25/2024 18:02:11,third year,female,every night,more than 8 hours,every night,good,often,always,always,major impact,every night,every day,every day,extremely high stress,poor
10/25/2024 18:02:32,third year,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,always,often,always,severe impact,every night,every day,every day,high stress,poor
10/25/2024 18:02:53,graduate student,female,every night,more than 8 hours,often (5-6 times a week),good,often,often,always,severe impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/25/2024 18:03:34,graduate student,female,every night,more than 8 hours,every night,very good,always,always,always,major impact,every night,every day,often (5-6 times a week),extremely high stress,poor
10/25/2024 18:04:04,graduate student,male,every night,more than 8 hours,every night,good,often,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/25/2024 18:04:24,graduate student,male,often (5-6 times a week),more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/25/2024 19:54:43,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/25/2024 21:10:07,graduate student,male,often (5-6 times a week),7-8 hours,every night,very good,often,always,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/26/2024 7:52:34,graduate student,male,often (5-6 times a week),more than 8 hours,every night,very good,often,often,always,severe impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,below average
10/26/2024 7:53:36,graduate student,male,often (5-6 times a week),more than 8 hours,every night,very good,often,always,often (3-4 times a week),major impact,every night,every day,every day,extremely high stress,below average
10/26/2024 7:53:56,third year,male,every night,more than 8 hours,every night,very good,often,always,always,severe impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,poor
10/26/2024 7:54:18,graduate student,male,every night,more than 8 hours,every night,good,always,always,often (3-4 times a week),severe impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 7:54:50,graduate student,male,every night,more than 8 hours,every night,very good,often,always,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,high stress,poor
10/26/2024 7:55:18,third year,male,every night,7-8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,every night,every day,every day,high stress,below average
10/26/2024 7:57:08,graduate student,male,often (5-6 times a week),7-8 hours,every night,good,often,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 7:57:30,graduate student,male,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,every night,every day,every day,high stress,poor
10/26/2024 7:58:01,graduate student,male,every night,more than 8 hours,every night,good,always,always,always,major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 7:58:21,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,often,always,severe impact,every night,every day,every day,high stress,poor
10/26/2024 7:58:40,third year,male,every night,7-8 hours,every night,very good,often,often,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 7:58:59,graduate student,male,every night,more than 8 hours,every night,very good,sometimes,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 7:59:21,graduate student,male,every night,7-8 hours,every night,very good,often,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 7:59:40,graduate student,male,every night,more than 8 hours,every night,good,always,often,always,major impact,every night,every day,every day,extremely high stress,poor
10/26/2024 8:00:15,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,always,always,always,severe impact,every night,every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 8:00:46,graduate student,male,every night,7-8 hours,every night,very good,always,often,always,severe impact,every night,every day,often (5-6 times a week),extremely high stress,average
10/26/2024 8:01:05,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:02:03,graduate student,male,every night,more than 8 hours,every night,good,always,often,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:02:44,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,always,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:03:07,third year,male,every night,more than 8 hours,every night,very good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/26/2024 8:03:45,graduate student,male,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 8:07:04,graduate student,male,every night,7-8 hours,every night,very good,always,always,often (3-4 times a week),major impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 8:07:34,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 8:08:49,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 8:22:11,graduate student,male,every night,more than 8 hours,every night,very good,always,often,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 8:32:28,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 8:33:27,graduate student,male,every night,7-8 hours,every night,good,always,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 8:34:27,graduate student,male,every night,more than 8 hours,every night,very good,often,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:36:25,graduate student,female,every night,7-8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,high stress,poor
10/26/2024 8:50:52,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 8:52:12,graduate student,male,every night,more than 8 hours,every night,very good,often,always,always,major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:55:29,graduate student,male,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 8:55:48,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,always,often,often (3-4 times a week),severe impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 8:56:07,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,always,major impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 8:57:12,graduate student,male,every night,more than 8 hours,every night,very good,often,often,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 8:58:38,graduate student,male,every night,more than 8 hours,every night,good,always,often,always,severe impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 8:58:58,graduate student,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),good,always,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 9:06:53,graduate student,male,every night,7-8 hours,every night,very good,often,always,always,major impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 9:09:25,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 9:12:38,graduate student,male,every night,7-8 hours,often (5-6 times a week),very good,always,always,always,severe impact,sometimes (3-4 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 9:16:00,graduate student,male,every night,7-8 hours,often (5-6 times a week),good,always,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 9:54:07,graduate student,female,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 9:55:04,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,every night,often (5-6 times a week),often (5-6 times a week),high stress,poor
10/26/2024 9:57:26,graduate student,male,every night,7-8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,average
10/26/2024 10:00:32,graduate student,male,every night,7-8 hours,every night,very good,sometimes,always,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 10:00:58,third year,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,always,major impact,every night,every day,every day,extremely high stress,below average
10/26/2024 10:01:52,graduate student,male,every night,7-8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),major impact,every night,every day,every day,extremely high stress,poor
10/26/2024 10:02:09,graduate student,female,often (5-6 times a week),more than 8 hours,every night,average,always,always,always,major impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 10:02:26,third year,female,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 10:08:51,third year,female,often (5-6 times a week),7-8 hours,every night,very good,always,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 10:09:25,graduate student,female,every night,more than 8 hours,every night,good,often,always,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 10:10:15,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,often,always,always,severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 10:11:18,third year,female,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,always,often,always,severe impact,every night,often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/26/2024 10:11:41,graduate student,male,every night,7-8 hours,every night,very good,always,always,always,severe impact,every night,every day,every day,high stress,poor
10/26/2024 10:13:01,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,often,always,always,severe impact,every night,every day,every day,high stress,poor
10/26/2024 10:13:37,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 10:14:22,graduate student,male,every night,7-8 hours,every night,very good,often,always,always,major impact,every night,every day,every day,extremely high stress,poor
10/26/2024 10:14:59,graduate student,male,every night,7-8 hours,every night,very good,sometimes,often,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 10:15:20,graduate student,female,often (5-6 times a week),more than 8 hours,every night,very good,always,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 10:16:32,graduate student,male,often (5-6 times a week),7-8 hours,every night,very good,always,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 10:28:58,graduate student,male,often (5-6 times a week),7-8 hours,every night,good,always,often,always,severe impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,poor
10/26/2024 10:29:17,graduate student,male,often (5-6 times a week),more than 8 hours,every night,good,always,always,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,high stress,poor
10/26/2024 13:55:02,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,always,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 13:55:34,graduate student,male,every night,7-8 hours,every night,very good,often,always,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 13:56:00,graduate student,male,often (5-6 times a week),6-7 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 13:56:24,graduate student,male,every night,more than 8 hours,every night,very good,often,always,always,severe impact,every night,every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 13:56:53,graduate student,male,every night,6-7 hours,often (5-6 times a week),good,often,always,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 13:57:20,first year,male,every night,7-8 hours,every night,very good,often,always,always,severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 13:57:40,third year,male,every night,more than 8 hours,every night,very good,often,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 13:57:57,graduate student,female,every night,more than 8 hours,often (5-6 times a week),very good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 13:58:14,graduate student,female,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 13:58:31,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,always,often,always,severe impact,every night,often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/26/2024 13:58:48,graduate student,male,every night,more than 8 hours,every night,good,often,always,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 13:59:05,graduate student,female,every night,more than 8 hours,every night,very good,always,often,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 13:59:24,third year,male,every night,more than 8 hours,every night,good,always,always,sometimes (1-2 times a week),major impact,every night,every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 13:59:41,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:00:04,third year,male,often (5-6 times a week),7-8 hours,every night,very good,often,always,always,major impact,every night,every day,often (5-6 times a week),high stress,poor
10/26/2024 14:00:20,graduate student,male,every night,more than 8 hours,every night,good,always,always,always,major impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 14:00:42,graduate student,female,every night,more than 8 hours,every night,very good,sometimes,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 14:01:00,graduate student,male,every night,7-8 hours,often (5-6 times a week),very good,often,always,always,moderate impact,every night,often (5-6 times a week),often (5-6 times a week),extremely high stress,good
10/26/2024 14:01:17,graduate student,male,every night,7-8 hours,often (5-6 times a week),average,often,always,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:01:35,graduate student,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,often,often,often (3-4 times a week),major impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 14:01:52,graduate student,male,every night,more than 8 hours,every night,good,often,always,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 14:02:18,third year,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,always,always,always,major impact,every night,often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/26/2024 14:02:37,third year,male,every night,6-7 hours,every night,very good,often,always,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:02:58,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,often,often,always,severe impact,often (5-6 times a week),every day,every day,high stress,below average
10/26/2024 14:03:17,third year,female,every night,7-8 hours,every night,very good,sometimes,often,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 14:03:37,second year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,often,sometimes,always,major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 14:03:57,third year,female,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,sometimes,often,always,severe impact,sometimes (3-4 times a week),every day,every day,extremely high stress,poor
10/26/2024 14:04:14,second year,female,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 14:04:37,graduate student,male,every night,more than 8 hours,every night,very good,always,always,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 14:04:55,graduate student,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),good,often,often,always,major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:05:12,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,always,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:05:33,second year,male,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),good,sometimes,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:05:50,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/26/2024 14:06:08,graduate student,male,every night,7-8 hours,every night,good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 14:06:26,graduate student,male,often (5-6 times a week),7-8 hours,every night,good,often,often,always,severe impact,often (5-6 times a week),often (5-6 times a week),every day,high stress,poor
10/26/2024 14:06:42,third year,male,every night,7-8 hours,often (5-6 times a week),good,always,often,always,severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:06:59,graduate student,male,every night,7-8 hours,every night,good,always,always,always,severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 14:07:15,third year,female,every night,7-8 hours,every night,very good,often,often,often (3-4 times a week),major impact,every night,every day,often (5-6 times a week),high stress,average
10/26/2024 14:07:40,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,always,often,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/26/2024 14:07:56,second year,female,every night,7-8 hours,often (5-6 times a week),good,often,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:08:15,third year,male,often (5-6 times a week),7-8 hours,every night,very good,often,often,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 14:08:31,third year,male,every night,more than 8 hours,every night,very good,always,often,always,major impact,often (5-6 times a week),every day,every day,high stress,poor
10/26/2024 14:08:46,third year,male,often (5-6 times a week),more than 8 hours,every night,very good,always,always,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 14:09:03,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,always,always,major impact,often (5-6 times a week),every day,every day,extremely high stress,average
10/26/2024 14:09:21,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,always,always,severe impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,average
10/26/2024 14:09:45,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/26/2024 14:10:09,third year,female,every night,7-8 hours,often (5-6 times a week),good,often,always,always,major impact,every night,often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:10:57,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,always,always,always,major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:11:17,third year,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),very good,always,always,always,major impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,below average
10/26/2024 14:11:50,third year,female,often (5-6 times a week),more than 8 hours,every night,good,always,always,always,major impact,every night,often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:12:07,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,always,sometimes (1-2 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:12:24,graduate student,male,every night,more than 8 hours,sometimes (3-4 times a week),good,often,often,always,major impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,below average
10/26/2024 14:12:42,graduate student,female,often (5-6 times a week),more than 8 hours,every night,very good,often,often,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 14:13:50,graduate student,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,always,always,always,major impact,every night,often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 14:14:11,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 14:14:29,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,always,always,often (3-4 times a week),severe impact,every night,every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 14:16:13,third year,female,every night,7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,sometimes (3-4 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 14:16:58,graduate student,male,often (5-6 times a week),7-8 hours,every night,good,often,often,always,major impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:17:27,third year,female,often (5-6 times a week),7-8 hours,every night,good,often,always,always,major impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,below average
10/26/2024 14:17:51,third year,male,every night,more than 8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/26/2024 14:18:44,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,high stress,poor
10/26/2024 14:19:10,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,always,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,often (5-6 times a week),high stress,below average
10/26/2024 14:19:32,third year,female,every night,7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:19:54,graduate student,male,every night,7-8 hours,every night,good,often,often,often (3-4 times a week),major impact,every night,every day,every day,high stress,poor
10/26/2024 14:22:58,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:23:32,graduate student,male,every night,more than 8 hours,every night,good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:24:07,third year,male,every night,more than 8 hours,often (5-6 times a week),good,often,often,always,severe impact,every night,every day,every day,extremely high stress,below average
10/26/2024 14:24:32,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,often,often,always,severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/26/2024 14:27:32,graduate student,male,every night,7-8 hours,every night,very good,often,often,often (3-4 times a week),major impact,every night,every day,every day,high stress,poor
10/26/2024 14:27:50,graduate student,male,every night,more than 8 hours,every night,very good,often,often,always,severe impact,often (5-6 times a week),every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 14:28:07,graduate student,male,every night,more than 8 hours,every night,very good,often,always,always,major impact,every night,every day,often (5-6 times a week),extremely high stress,poor
10/26/2024 14:28:24,graduate student,female,every night,7-8 hours,often (5-6 times a week),very good,always,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,poor
10/26/2024 14:28:44,graduate student,female,every night,more than 8 hours,every night,very good,always,often,often (3-4 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/26/2024 14:29:03,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 14:29:20,graduate student,male,every night,more than 8 hours,often (5-6 times a week),very good,often,sometimes,often (3-4 times a week),severe impact,every night,often (5-6 times a week),every day,extremely high stress,below average
10/26/2024 14:34:28,graduate student,male,every night,more than 8 hours,often (5-6 times a week),good,often,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,high stress,below average
10/26/2024 14:35:27,second year,female,often (5-6 times a week),more than 8 hours,every night,very good,often,often,always,severe impact,every night,every day,every day,extremely high stress,poor
10/26/2024 14:36:23,graduate student,female,every night,more than 8 hours,every night,very good,always,always,often (3-4 times a week),severe impact,often (5-6 times a week),every day,every day,extremely high stress,below average
10/26/2024 15:25:18,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,often,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 15:25:36,third year,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),very good,often,often,always,severe impact,every night,often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 15:26:02,graduate student,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),severe impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/26/2024 15:26:47,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very poor,always,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),every day,high stress,below average
10/26/2024 15:27:12,graduate student,female,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),very poor,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 15:27:34,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),poor,often,often,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,below average
10/26/2024 15:27:56,graduate student,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),very poor,often,always,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
